datetime,sample_id,state,Main_Stock,Eff_Type
0,1,remaining_below_baseline_stock,remaining,below_baseline_stock
0,2,remaining_below_baseline_stock,remaining,below_baseline_stock
0,3,remaining_below_baseline_stock,remaining,below_baseline_stock
0,4,remaining_below_baseline_stock,remaining,below_baseline_stock
0,5,remaining_below_baseline_stock,remaining,below_baseline_stock
0,6,remaining_below_baseline_stock,remaining,below_baseline_stock
0,7,remaining_below_baseline_stock,remaining,below_baseline_stock
0,8,remaining_below_baseline_stock,remaining,below_baseline_stock
0,9,remaining_below_baseline_stock,remaining,below_baseline_stock
0,10,remaining_below_baseline_stock,remaining,below_baseline_stock
0,11,remaining_below_baseline_stock,remaining,below_baseline_stock
0,12,remaining_below_baseline_stock,remaining,below_baseline_stock
0,13,remaining_baseline_stock,remaining,baseline_stock
0,14,remaining_baseline_stock,remaining,baseline_stock
0,15,remaining_baseline_stock,remaining,baseline_stock
0,16,remaining_baseline_stock,remaining,baseline_stock
0,17,remaining_baseline_stock,remaining,baseline_stock
0,18,remaining_baseline_stock,remaining,baseline_stock
0,19,remaining_baseline_stock,remaining,baseline_stock
0,20,remaining_baseline_stock,remaining,baseline_stock
0,21,remaining_baseline_stock,remaining,baseline_stock
0,22,remaining_baseline_stock,remaining,baseline_stock
0,23,remaining_baseline_stock,remaining,baseline_stock
0,24,remaining_baseline_stock,remaining,baseline_stock
0,25,remaining_baseline_stock,remaining,baseline_stock
0,26,remaining_baseline_stock,remaining,baseline_stock
0,27,remaining_baseline_stock,remaining,baseline_stock
0,28,remaining_baseline_stock,remaining,baseline_stock
0,29,remaining_baseline_stock,remaining,baseline_stock
0,30,remaining_baseline_stock,remaining,baseline_stock
0,31,remaining_baseline_stock,remaining,baseline_stock
0,32,remaining_baseline_stock,remaining,baseline_stock
0,33,remaining_baseline_stock,remaining,baseline_stock
0,34,remaining_baseline_stock,remaining,baseline_stock
0,35,remaining_baseline_stock,remaining,baseline_stock
0,36,remaining_baseline_stock,remaining,baseline_stock
0,37,remaining_baseline_stock,remaining,baseline_stock
0,38,remaining_baseline_stock,remaining,baseline_stock
0,39,remaining_baseline_stock,remaining,baseline_stock
0,40,remaining_baseline_stock,remaining,baseline_stock
0,41,remaining_baseline_stock,remaining,baseline_stock
0,42,remaining_baseline_stock,remaining,baseline_stock
0,43,remaining_baseline_stock,remaining,baseline_stock
0,44,remaining_baseline_stock,remaining,baseline_stock
0,45,remaining_baseline_stock,remaining,baseline_stock
0,46,remaining_baseline_stock,remaining,baseline_stock
0,47,remaining_baseline_stock,remaining,baseline_stock
0,48,remaining_baseline_stock,remaining,baseline_stock
0,49,remaining_efficient_stock,remaining,efficient_stock
0,50,remaining_efficient_stock,remaining,efficient_stock
0,51,remaining_efficient_stock,remaining,efficient_stock
0,52,remaining_efficient_stock,remaining,efficient_stock
0,53,remaining_efficient_stock,remaining,efficient_stock
0,54,remaining_efficient_stock,remaining,efficient_stock
0,55,remaining_efficient_stock,remaining,efficient_stock
0,56,remaining_efficient_stock,remaining,efficient_stock
0,57,remaining_efficient_stock,remaining,efficient_stock
0,58,remaining_efficient_stock,remaining,efficient_stock
0,59,remaining_efficient_stock,remaining,efficient_stock
0,60,remaining_efficient_stock,remaining,efficient_stock
0,61,ret_er_below_baseline_stock,ret,below_baseline_stock
0,62,ret_er_below_baseline_stock,ret,below_baseline_stock
0,63,ret_er_below_baseline_stock,ret,below_baseline_stock
0,64,ret_er_below_baseline_stock,ret,below_baseline_stock
0,65,ret_er_below_baseline_stock,ret,below_baseline_stock
0,66,ret_er_below_baseline_stock,ret,below_baseline_stock
0,67,ret_er_baseline_stock,ret,baseline_stock
0,68,ret_er_baseline_stock,ret,baseline_stock
0,69,ret_er_baseline_stock,ret,baseline_stock
0,70,ret_er_baseline_stock,ret,baseline_stock
0,71,ret_er_baseline_stock,ret,baseline_stock
0,72,ret_er_baseline_stock,ret,baseline_stock
0,73,ret_er_baseline_stock,ret,baseline_stock
0,74,ret_er_baseline_stock,ret,baseline_stock
0,75,ret_er_baseline_stock,ret,baseline_stock
0,76,ret_er_baseline_stock,ret,baseline_stock
0,77,ret_er_baseline_stock,ret,baseline_stock
0,78,ret_er_baseline_stock,ret,baseline_stock
0,79,ret_er_baseline_stock,ret,baseline_stock
0,80,ret_er_baseline_stock,ret,baseline_stock
0,81,ret_er_baseline_stock,ret,baseline_stock
0,82,ret_er_baseline_stock,ret,baseline_stock
0,83,ret_er_baseline_stock,ret,baseline_stock
0,84,ret_er_baseline_stock,ret,baseline_stock
0,85,ret_er_efficient_stock,ret,efficient_stock
0,86,ret_er_efficient_stock,ret,efficient_stock
0,87,ret_er_efficient_stock,ret,efficient_stock
0,88,ret_er_efficient_stock,ret,efficient_stock
0,89,ret_er_efficient_stock,ret,efficient_stock
0,90,ret_er_efficient_stock,ret,efficient_stock
0,91,rob_below_baseline_stock,rob,below_baseline_stock
0,92,rob_below_baseline_stock,rob,below_baseline_stock
0,93,rob_baseline_stock,rob,baseline_stock
0,94,rob_baseline_stock,rob,baseline_stock
0,95,rob_baseline_stock,rob,baseline_stock
0,96,rob_baseline_stock,rob,baseline_stock
0,97,rob_baseline_stock,rob,baseline_stock
0,98,rob_baseline_stock,rob,baseline_stock
0,99,rob_efficient_stock,rob,efficient_stock
0,100,rob_efficient_stock,rob,efficient_stock
1,1,ret_er_below_baseline_stock,ret,below_baseline_stock
1,2,ret_er_below_baseline_stock,ret,below_baseline_stock
1,3,remaining_below_baseline_stock,remaining,below_baseline_stock
1,4,remaining_below_baseline_stock,remaining,below_baseline_stock
1,5,remaining_below_baseline_stock,remaining,below_baseline_stock
1,6,remaining_below_baseline_stock,remaining,below_baseline_stock
1,7,remaining_below_baseline_stock,remaining,below_baseline_stock
1,8,remaining_below_baseline_stock,remaining,below_baseline_stock
1,9,remaining_below_baseline_stock,remaining,below_baseline_stock
1,10,remaining_below_baseline_stock,remaining,below_baseline_stock
1,11,remaining_below_baseline_stock,remaining,below_baseline_stock
1,12,remaining_below_baseline_stock,remaining,below_baseline_stock
1,13,ret_er_baseline_stock,ret,baseline_stock
1,14,ret_er_baseline_stock,ret,baseline_stock
1,15,ret_er_baseline_stock,ret,baseline_stock
1,16,ret_er_baseline_stock,ret,baseline_stock
1,17,ret_er_baseline_stock,ret,baseline_stock
1,18,ret_er_baseline_stock,ret,baseline_stock
1,19,remaining_baseline_stock,remaining,baseline_stock
1,20,remaining_baseline_stock,remaining,baseline_stock
1,21,remaining_baseline_stock,remaining,baseline_stock
1,22,remaining_baseline_stock,remaining,baseline_stock
1,23,remaining_baseline_stock,remaining,baseline_stock
1,24,remaining_baseline_stock,remaining,baseline_stock
1,25,remaining_baseline_stock,remaining,baseline_stock
1,26,remaining_baseline_stock,remaining,baseline_stock
1,27,remaining_baseline_stock,remaining,baseline_stock
1,28,remaining_baseline_stock,remaining,baseline_stock
1,29,remaining_baseline_stock,remaining,baseline_stock
1,30,remaining_baseline_stock,remaining,baseline_stock
1,31,remaining_baseline_stock,remaining,baseline_stock
